Audio Test:
Geting audio input:
Got config: StreamConfig { channels: 1, sample_rate: SampleRate(384000), buffer_size: Default }
Starting len: 0
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: 2031.1113
center: 2320.9202
center: 26923.928
center: 117546.72
center: 18371.844
center: 89.2022
center: 500.3014
center: 22334.268
center: 39480.168
center: 5655.695
center: 4710.687
center: 643.5967
center: 2011.2443
center: 2986.1655
center: 5707.3687
center: 4728.5767
center: 6896.886
center: 57073.06
center: 324.83862
center: 10413.74
center: 22430.717
center: 3857.2686
center: 4640.9155
center: 406.69818
center: 15993.602
center: 7389.506
center: 9092.286
center: 4103.5547
center: 10718.313
center: 8854.663
center: 1268.1268
center: 18428.066
center: 2430.1287
center: 51975.824
center: 618.8661
center: 12986.857
center: 1457.4575
center: 7627.938
center: 888.3817
center: 2750.2568
center: 5426.428
center: 20452.42
center: 84379.33
center: 14416.17
center: 9933.385
center: 11257.673
center: 158.01053
center: 24689.518
center: 4015.0176
center: 12129.81
center: 1696.017
center: 5762.913
center: 2036.8901
center: 82121.305
center: 548.1412
center: 5557.4233
center: 2453.202
center: 28790.023
center: 2578.658
center: 3519.55
center: 934.0422
center: 112734.75
center: 105091.766
center: 1436.033
center: 1040.6259
center: 6223.329
center: 4617.11
center: 400.06595
center: 20380.111
center: 12726.654
center: 1855.0885
center: 2882.1733
center: 22924.059
center: 101310.195
center: 15793.605
center: 12800.167
center: 690.21704
center: 49025.35
